big_cat	cat	lab	url
Бизнес и экономика	IT-компании	34,59	https://akavita.com/ru/top/All/Business_and_Economics/IT_companies/30days/visitors/desc/Belarus/All
Бизнес и экономика	Автосервис	32,59	https://akavita.com/ru/top/All/Business_and_Economics/Autoservice/30days/visitors/desc/Belarus/All
Бизнес и экономика	Аудит, налоги	37	https://akavita.com/ru/top/All/Business_and_Economics/Audit/30days/visitors/desc/Belarus/All
Бизнес и экономика	Банки/финансы	37	https://akavita.com/ru/top/All/Business_and_Economics/Finance/30days/visitors/desc/Belarus/All
Бизнес и экономика	Бизнес-каталоги	59	https://akavita.com/ru/top/All/Business_and_Economics/Business-directories/30days/visitors/desc/Belarus/All
Бизнес и экономика	Биржи	37	https://akavita.com/ru/top/All/Business_and_Economics/Stock/30days/visitors/desc/Belarus/All
Бизнес и экономика	Инвестиции	37,59	https://akavita.com/ru/top/All/Business_and_Economics/Investment/30days/visitors/desc/Belarus/All
Бизнес и экономика	Лёгкая промышленность	59	https://akavita.com/ru/top/All/Business_and_Economics/Light-Industry/30days/visitors/desc/Belarus/All
Бизнес и экономика	Маркетинг, реклама, PR	59	https://akavita.com/ru/top/All/Business_and_Economics/Advertisement/30days/visitors/desc/Belarus/All
Бизнес и экономика	Менеджмент и Консалтинг	59	https://akavita.com/ru/top/All/Business_and_Economics/Management-and-Consulting/30days/visitors/desc/Belarus/All
Бизнес и экономика	Металлургия	59	https://akavita.com/ru/top/All/Business_and_Economics/Metallurgy/30days/visitors/desc/Belarus/All
Бизнес и экономика	Недвижимость	57	https://akavita.com/ru/top/All/Business_and_Economics/Real_estate/30days/visitors/desc/Belarus/All
Бизнес и экономика	Переводы	59	https://akavita.com/ru/top/All/Business_and_Economics/Translation/30days/visitors/desc/Belarus/All
Бизнес и экономика	Полиграфия и сувениры	34	https://akavita.com/ru/top/All/Business_and_Economics/Print/30days/visitors/desc/Belarus/All
Бизнес и экономика	Продукты питания и напитки	34	https://akavita.com/ru/top/All/Business_and_Economics/Food/30days/visitors/desc/Belarus/All
Бизнес и экономика	Работа	41	https://akavita.com/ru/top/All/Business_and_Economics/Job/30days/visitors/desc/Belarus/All
Бизнес и экономика	Связь	34	https://akavita.com/ru/top/All/Business_and_Economics/Communications/30days/visitors/desc/Belarus/All
Бизнес и экономика	Страхование	37	https://akavita.com/ru/top/All/Business_and_Economics/Insurance/30days/visitors/desc/Belarus/All
Бизнес и экономика	Строительство	34	https://akavita.com/ru/top/All/Business_and_Economics/Construction/30days/visitors/desc/Belarus/All
Бизнес и экономика	Стройматериалы, сантехника, мебель	34	https://akavita.com/ru/top/All/Business_and_Economics/Building-materials/30days/visitors/desc/Belarus/All
Бизнес и экономика	Техника и оборудование	34	https://akavita.com/ru/top/All/Business_and_Economics/Machinery/30days/visitors/desc/Belarus/All
Бизнес и экономика	Торговля, поставки	54	https://akavita.com/ru/top/All/Business_and_Economics/Commerce/30days/visitors/desc/Belarus/All
Бизнес и экономика	Транспорт	32	https://akavita.com/ru/top/All/Business_and_Economics/Transport/30days/visitors/desc/Belarus/All
Бизнес и экономика	Услуги населению	34	https://akavita.com/ru/top/All/Business_and_Economics/B2C-Services/30days/visitors/desc/Belarus/All
Бизнес и экономика	Химия и фармацевтика	34	https://akavita.com/ru/top/All/Business_and_Economics/Chemistry/30days/visitors/desc/Belarus/All
Бизнес и экономика	Юридические услуги	43,59	https://akavita.com/ru/top/All/Business_and_Economics/Legal/30days/visitors/desc/Belarus/All
Города и Регионы	Брест и область	38	https://akavita.com/ru/top/All/Belarus/Brest/30days/visitors/desc/Belarus/All
Города и Регионы	Витебск и область	38	https://akavita.com/ru/top/All/Belarus/Vetebsk/30days/visitors/desc/Belarus/All
Города и Регионы	Гомель и область	38	https://akavita.com/ru/top/All/Belarus/Gomel/30days/visitors/desc/Belarus/All
Города и Регионы	Гродно и область	38	https://akavita.com/ru/top/All/Belarus/Hrodna/30days/visitors/desc/Belarus/All
Города и Регионы	Минск и область	38	https://akavita.com/ru/top/All/Belarus/Minsk/30days/visitors/desc/Belarus/All
Города и Регионы	Могилёв и область	38	https://akavita.com/ru/top/All/Belarus/Mahiliou/30days/visitors/desc/Belarus/All
Города и Регионы	О Беларуси	38	https://akavita.com/ru/top/All/Belarus/Belarus/30days/visitors/desc/Belarus/All
Дом и семья	Дети	53	https://akavita.com/ru/top/All/Home_and_Family/Kids/30days/visitors/desc/Belarus/All
Дом и семья	Домашние животные и растения	53	https://akavita.com/ru/top/All/Home_and_Family/Pets/30days/visitors/desc/Belarus/All
Дом и семья	Кулинария	53	https://akavita.com/ru/top/All/Home_and_Family/Cooking/30days/visitors/desc/Belarus/All
Дом и семья	Подарки, торжества, поздравления	53	https://akavita.com/ru/top/All/Home_and_Family/Celebrations/30days/visitors/desc/Belarus/All
Дом и семья	Ремонт, обустройство	53	https://akavita.com/ru/top/All/Home_and_Family/Repair/30days/visitors/desc/Belarus/All
Дом и семья	Сад и огород	53	https://akavita.com/ru/top/All/Home_and_Family/Garden/30days/visitors/desc/Belarus/All
Интернет	Веб-разработки	49	https://akavita.com/ru/top/All/Internet/Web-development/30days/visitors/desc/Belarus/All
Интернет	Заработок	41	https://akavita.com/ru/top/All/Internet/Earnings/30days/visitors/desc/Belarus/All
Интернет	Интернет-обозрения	49	https://akavita.com/ru/top/All/Internet/Reviews/30days/visitors/desc/Belarus/All
Интернет	Платёжные системы	37	https://akavita.com/ru/top/All/Internet/Payment/30days/visitors/desc/Belarus/All
Интернет	Поиск, каталоги, порталы	46,48	https://akavita.com/ru/top/All/Internet/Portals/30days/visitors/desc/Belarus/All
Интернет	Провайдеры	49	https://akavita.com/ru/top/All/Internet/Providers/30days/visitors/desc/Belarus/All
Интернет	Раскрутка сайта, SEO	49	https://akavita.com/ru/top/All/Internet/SEO/30days/visitors/desc/Belarus/All
Интернет	Сервисы	49	https://akavita.com/ru/top/All/Internet/Services/30days/visitors/desc/Belarus/All
Интернет	Хостинг	49	https://akavita.com/ru/top/All/Internet/Hosting/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Безопасность	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Security/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Железо	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Hardware/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Игры	28	https://akavita.com/ru/top/All/Computers_and_Electronics/Games/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Издания, обзоры	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Reviews/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Компьютерная графика	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Computer_graphics/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Компьютерные сети	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Networks/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Мобильная связь	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Mobile/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Оргтехника, бытовая техника	34,49	https://akavita.com/ru/top/All/Computers_and_Electronics/Home_and_office/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Программное обеспечение	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Software/30days/visitors/desc/Belarus/All
Компьютеры и электроника	Ремонт и настройка компьютеров	49	https://akavita.com/ru/top/All/Computers_and_Electronics/Installation/30days/visitors/desc/Belarus/All
Культура и искусство	Архитектура	55	https://akavita.com/ru/top/All/Culture_and_Art/Architecture/30days/visitors/desc/Belarus/All
Культура и искусство	Библиотеки	55	https://akavita.com/ru/top/All/Culture_and_Art/Libraries/30days/visitors/desc/Belarus/All
Культура и искусство	Дизайн	55	https://akavita.com/ru/top/All/Culture_and_Art/Design/30days/visitors/desc/Belarus/All
Культура и искусство	Другое	55	https://akavita.com/ru/top/All/Culture_and_Art/Other/30days/visitors/desc/Belarus/All
Культура и искусство	Изобразительное искусство	55	https://akavita.com/ru/top/All/Culture_and_Art/Fine_arts/30days/visitors/desc/Belarus/All
Культура и искусство	История и краеведение	55	https://akavita.com/ru/top/All/Culture_and_Art/History/30days/visitors/desc/Belarus/All
Культура и искусство	Литература	55	https://akavita.com/ru/top/All/Culture_and_Art/Literature/30days/visitors/desc/Belarus/All
Культура и искусство	Музеи	53,55	https://akavita.com/ru/top/All/Culture_and_Art/Museums/30days/visitors/desc/Belarus/All
Культура и искусство	Музыка - обзоры, коллекции, фан-клубы	55	https://akavita.com/ru/top/All/Culture_and_Art/Music_fan-clubs/30days/visitors/desc/Belarus/All
Культура и искусство	Музыка - официальные сайты	55	https://akavita.com/ru/top/All/Culture_and_Art/Music_official/30days/visitors/desc/Belarus/All
Культура и искусство	Танец, хореография	53,55	https://akavita.com/ru/top/All/Culture_and_Art/Dancing/30days/visitors/desc/Belarus/All
Культура и искусство	Театр	53,55	https://akavita.com/ru/top/All/Culture_and_Art/Theatre/30days/visitors/desc/Belarus/All
Культура и искусство	Фотография	53,55	https://akavita.com/ru/top/All/Culture_and_Art/Photography/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Cтроительство и ремонт	54	https://akavita.com/ru/top/All/Internet-shops/Construction_repair/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Автомобили	32	https://akavita.com/ru/top/All/Internet-shops/Cars/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Автотовары	32	https://akavita.com/ru/top/All/Internet-shops/Car_spare_parts/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Аукционы	54	https://akavita.com/ru/top/All/Internet-shops/Auctions/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Бытовая техника	54	https://akavita.com/ru/top/All/Internet-shops/Household_appliances/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Детский мир	54	https://akavita.com/ru/top/All/Internet-shops/Kids/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Другие магазины	54	https://akavita.com/ru/top/All/Internet-shops/Other_shops/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Искусство	54	https://akavita.com/ru/top/All/Internet-shops/Art/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Книги, журналы	54	https://akavita.com/ru/top/All/Internet-shops/Books/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Компьютеры и комплектующие	49,54	https://akavita.com/ru/top/All/Internet-shops/Computers_and_hardware/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Красота и здоровье	39	https://akavita.com/ru/top/All/Internet-shops/Beauty_and_health/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Мебель, интерьер	54	https://akavita.com/ru/top/All/Internet-shops/Furniture_interior/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Музыка, фильмы	54	https://akavita.com/ru/top/All/Internet-shops/Music_movies/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Одежда, обувь	54	https://akavita.com/ru/top/All/Internet-shops/Clothes_footwear/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Оргтехника, канцтовары	54	https://akavita.com/ru/top/All/Internet-shops/Goods_for_office/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Программы, мультимедия, интернет	49,54	https://akavita.com/ru/top/All/Internet-shops/Software/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Продукты, напитки, табак	54	https://akavita.com/ru/top/All/Internet-shops/Food/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Спорт и туризм	50	https://akavita.com/ru/top/All/Internet-shops/Sports_tourism/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Супермаркеты	54	https://akavita.com/ru/top/All/Internet-shops/Supermarkets/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Телефоны и средства связи	49	https://akavita.com/ru/top/All/Internet-shops/Phones_telecommunication/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Торговые площадки	54	https://akavita.com/ru/top/All/Internet-shops/Trade/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Фото-техника и электроника	54	https://akavita.com/ru/top/All/Internet-shops/Audio-video-foto/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Цветы, подарки	54	https://akavita.com/ru/top/All/Internet-shops/Flowers_gifts/30days/visitors/desc/Belarus/All
Магазины, торговые площадки, объявления	Частные объявления	58	https://akavita.com/ru/top/All/Internet-shops/Bulletin-boards/30days/visitors/desc/Belarus/All
Медицина и здоровье	Аптеки	39	https://akavita.com/ru/top/All/Medicine_and_Health/Drugstores/30days/visitors/desc/Belarus/All
Медицина и здоровье	Информационные ресурсы	39	https://akavita.com/ru/top/All/Medicine_and_Health/Resources/30days/visitors/desc/Belarus/All
Медицина и здоровье	Лекарства, фармацевтика	39	https://akavita.com/ru/top/All/Medicine_and_Health/Pharmaceutics/30days/visitors/desc/Belarus/All
Медицина и здоровье	Медицинские центры, санатории	39	https://akavita.com/ru/top/All/Medicine_and_Health/Health_centre/30days/visitors/desc/Belarus/All
Медицина и здоровье	Медтехника	39	https://akavita.com/ru/top/All/Medicine_and_Health/Equipment/30days/visitors/desc/Belarus/All
Медицина и здоровье	Нетрадиционная медицина	39	https://akavita.com/ru/top/All/Medicine_and_Health/Unconventional/30days/visitors/desc/Belarus/All
Новости и СМИ	Интернет-издания, новостные ресурсы	44	https://akavita.com/ru/top/All/Mass_Media_and_News/Internet-media/30days/visitors/desc/Belarus/All
Новости и СМИ	Печатные СМИ в интернете	44	https://akavita.com/ru/top/All/Mass_Media_and_News/Published_media/30days/visitors/desc/Belarus/All
Новости и СМИ	Радио	23	https://akavita.com/ru/top/All/Mass_Media_and_News/Radio/30days/visitors/desc/Belarus/All
Новости и СМИ	Телевидение	22	https://akavita.com/ru/top/All/Mass_Media_and_News/Television/30days/visitors/desc/Belarus/All
Образование и наука	ВУЗы	36	https://akavita.com/ru/top/All/Education_and_Science/Universities/30days/visitors/desc/Belarus/All
Образование и наука	Исследовательские организации	51	https://akavita.com/ru/top/All/Education_and_Science/Research/30days/visitors/desc/Belarus/All
Образование и наука	Курсы	36	https://akavita.com/ru/top/All/Education_and_Science/Courses/30days/visitors/desc/Belarus/All
Образование и наука	Наука	51	https://akavita.com/ru/top/All/Education_and_Science/Science/30days/visitors/desc/Belarus/All
Образование и наука	Рефераты	8	https://akavita.com/ru/top/All/Education_and_Science/Compositions/30days/visitors/desc/Belarus/All
Образование и наука	Словари, лингвистика	51	https://akavita.com/ru/top/All/Education_and_Science/Linguistics/30days/visitors/desc/Belarus/All
Образование и наука	Специальные учебные заведения	36	https://akavita.com/ru/top/All/Education_and_Science/Colleges/30days/visitors/desc/Belarus/All
Образование и наука	Студенческие ресурсы	8,36	https://akavita.com/ru/top/All/Education_and_Science/Students/30days/visitors/desc/Belarus/All
Образование и наука	Технологии	51	https://akavita.com/ru/top/All/Education_and_Science/Technology/30days/visitors/desc/Belarus/All
Образование и наука	Школы, гимназии	36	https://akavita.com/ru/top/All/Education_and_Science/Schools/30days/visitors/desc/Belarus/All
Общение	Блоги	33	https://akavita.com/ru/top/All/Communication/Blogs/30days/visitors/desc/Belarus/All
Общение	Знакомства	15	https://akavita.com/ru/top/All/Communication/Dating/30days/visitors/desc/Belarus/All
Общение	Персональные сайты	33	https://akavita.com/ru/top/All/Communication/Personal/30days/visitors/desc/Belarus/All
Общение	Сервисы	49	https://akavita.com/ru/top/All/Communication/Services/30days/visitors/desc/Belarus/All
Общение	Сообщества	30	https://akavita.com/ru/top/All/Communication/Communities/30days/visitors/desc/Belarus/All
Общение	Форумы	27	https://akavita.com/ru/top/All/Communication/Forums/30days/visitors/desc/Belarus/All
Общение	Чаты	26	https://akavita.com/ru/top/All/Communication/Chats/30days/visitors/desc/Belarus/All
Общество и политика	Астрология, эзотерика, непознанное	17	https://akavita.com/ru/top/All/Society_and_Politics/Astrology-paranormal/30days/visitors/desc/Belarus/All
Общество и политика	Диаспора	43	https://akavita.com/ru/top/All/Society_and_Politics/Belarusians_abroad/30days/visitors/desc/Belarus/All
Общество и политика	Законодательство и право	43	https://akavita.com/ru/top/All/Society_and_Politics/Legislation/30days/visitors/desc/Belarus/All
Общество и политика	Молодёжные движения	43	https://akavita.com/ru/top/All/Society_and_Politics/Youth/30days/visitors/desc/Belarus/All
Общество и политика	Обзоры, аналитика	43	https://akavita.com/ru/top/All/Society_and_Politics/Reviews/30days/visitors/desc/Belarus/All
Общество и политика	Общественные организации	43	https://akavita.com/ru/top/All/Society_and_Politics/Non-profit/30days/visitors/desc/Belarus/All
Общество и политика	Органы власти	43	https://akavita.com/ru/top/All/Society_and_Politics/Authority/30days/visitors/desc/Belarus/All
Общество и политика	Партии, движения, лидеры	43	https://akavita.com/ru/top/All/Society_and_Politics/Parties/30days/visitors/desc/Belarus/All
Общество и политика	Религия	47	https://akavita.com/ru/top/All/Society_and_Politics/Religion/30days/visitors/desc/Belarus/All
Отдых и развлечения	Афиша, кино, концерты	30	https://akavita.com/ru/top/All/Entertainment/Posters/30days/visitors/desc/Belarus/All
Отдых и развлечения	Для взрослых	13	https://akavita.com/ru/top/All/Entertainment/Adult/30days/visitors/desc/Belarus/All
Отдых и развлечения	Игры	30	https://akavita.com/ru/top/All/Entertainment/Games/30days/visitors/desc/Belarus/All
Отдых и развлечения	Развлекательные сайты	30	https://akavita.com/ru/top/All/Entertainment/Entertaining_sites/30days/visitors/desc/Belarus/All
Отдых и развлечения	Тесты	30	https://akavita.com/ru/top/All/Entertainment/Tests/30days/visitors/desc/Belarus/All
Отдых и развлечения	Юмор	30	https://akavita.com/ru/top/All/Entertainment/Humour/30days/visitors/desc/Belarus/All
Спорт	Спортивные клубы	50	https://akavita.com/ru/top/All/Sports/Sport_clubs/30days/visitors/desc/Belarus/All
Спорт	Спортивные новости	44,50	https://akavita.com/ru/top/All/Sports/News/30days/visitors/desc/Belarus/All
Спорт	Фан-клубы	50	https://akavita.com/ru/top/All/Sports/Fan_clubs/30days/visitors/desc/Belarus/All
Спорт	Федерации и Виды спорта	50	https://akavita.com/ru/top/All/Sports/Federations/30days/visitors/desc/Belarus/All
Справки	Другие справки	58	https://akavita.com/ru/top/All/Reference/Other/30days/visitors/desc/Belarus/All
Справки	Погода	49,58	https://akavita.com/ru/top/All/Reference/Weather/30days/visitors/desc/Belarus/All
Справки	Расписание движения транспорта	32,58	https://akavita.com/ru/top/All/Reference/Timetables/30days/visitors/desc/Belarus/All
Справки	Телефонные справочники	58	https://akavita.com/ru/top/All/Reference/Telephone_directories/30days/visitors/desc/Belarus/All
Стиль жизни	Авто-мото	32	https://akavita.com/ru/top/All/LifeStyle/Auto-moto/30days/visitors/desc/Belarus/All
Стиль жизни	Кафе, рестораны	30	https://akavita.com/ru/top/All/LifeStyle/Restaurants/30days/visitors/desc/Belarus/All
Стиль жизни	Клубы	30	https://akavita.com/ru/top/All/LifeStyle/Clubs/30days/visitors/desc/Belarus/All
Стиль жизни	Красота, косметика	30,39	https://akavita.com/ru/top/All/LifeStyle/Beauty/30days/visitors/desc/Belarus/All
Стиль жизни	Мода, модельные агентства	30	https://akavita.com/ru/top/All/LifeStyle/Fashion/30days/visitors/desc/Belarus/All
Стиль жизни	Охота и рыбалка	53	https://akavita.com/ru/top/All/LifeStyle/Hunting-and-Fishing/30days/visitors/desc/Belarus/All
Стиль жизни	Торговые центры	53,54	https://akavita.com/ru/top/All/LifeStyle/Shopping/30days/visitors/desc/Belarus/All
Стиль жизни	Увлечения, хобби	53	https://akavita.com/ru/top/All/LifeStyle/Hobbies/30days/visitors/desc/Belarus/All
Стиль жизни	Фитнес	50	https://akavita.com/ru/top/All/LifeStyle/Fitness/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Активный отдых	50,52,53	https://akavita.com/ru/top/All/Nature_and_Travel/Recreation/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Визы, услуги по оформлению	52	https://akavita.com/ru/top/All/Nature_and_Travel/Visas/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Гостиницы	52	https://akavita.com/ru/top/All/Nature_and_Travel/Hotels/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Природа и экология	52	https://akavita.com/ru/top/All/Nature_and_Travel/Nature/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Путешествия	52	https://akavita.com/ru/top/All/Nature_and_Travel/Traveling/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Туристические агентства	52	https://akavita.com/ru/top/All/Nature_and_Travel/Travel_agencies/30days/visitors/desc/Belarus/All
Туризм, путешествия, природа	Экотуризм	52	https://akavita.com/ru/top/All/Nature_and_Travel/Ecotravel/30days/visitors/desc/Belarus/All
